"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://knightlogics.com/","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Indexable",""
"https://knightlogics.com/case-study-screen-team","1","Case study: ScreenTeamLLC.com — Growth System build by Knight Logics. Tampa Bay screen repair website with CRM, email automation, social systems, and directory foundation.","171","1111","Indexable",""
"https://knightlogics.com/pricing","1","Compare Tampa Bay web design, local SEO, Google Business Profile, e-commerce, CRM, and automation pricing from Knight Logics. Starter websites from $500, local launch packages from $1,997, and monthly visibility plans from $197/mo.","231","1479","Non-Indexable","noindex"
"https://knightlogics.com/pixelforge-ai","1","PixelForge AI by Knight Logics: Windows desktop video upscaling app for local enhancement, restoration, compare previews, ETA estimation, and direct GitHub-powered updates.","172","1095","Indexable",""
"https://knightlogics.com/service-desktop-apps","1","Custom Windows desktop applications by Knight Logics. Shipped products include PixelForge AI, Display Control+, and VideoForge Studio — built, packaged & distributed via GitHub Releases.","186","1172","Indexable",""
"https://knightlogics.com/case-study-jns","1","Case study: JNSBuilds.com — Local Launch Plus build by Knight Logics with 11 pages, FAQPage schema, analytics, and full technical SEO foundations.","146","932","Indexable",""
"https://knightlogics.com/case-study-knight-group","1","Case study: KnightGroup.com — Growth System build by Knight Logics combining a local-service website, booking flow, SEO, and supporting operations workflows.","157","1008","Indexable",""
"https://knightlogics.com/service-websites","1","Custom website design & local SEO for Tampa Bay small businesses. Hand-coded sites with Google Business Profile optimization, schema markup & Search Console setup. Get found, get calls.","185","1180","Indexable",""
"https://knightlogics.com/book-consultation","1","Book a consultation with Knight Logics for Tampa Bay web design, local SEO, Google Business Profile optimization, e-commerce, automation, or custom software. Request a preferred time and get a response within 24 hours.","218","1379","Indexable",""
"https://knightlogics.com/videoforge","1","VideoForge Studio by Knight Logics: Windows-first local video production app for ranked videos with FFmpeg rendering, overlays, optional narration, and export-ready output.","172","1071","Indexable",""
"https://knightlogics.com/service-ai-automation","1","Business automation, workflow systems & API integration for Tampa Bay companies. Cut manual work, reduce errors, and connect your tools with custom-built automations by Knight Logics.","183","1178","Indexable",""
"https://knightlogics.com/contact","1","Contact Knight Logics for Tampa Bay web design, local SEO, Google Business Profile optimization, e-commerce, or automation help. Free consultation and direct response within 24 hours.","183","1152","Indexable",""
"https://knightlogics.com/case-study-moms-resin-tables","1","Case study: MomsResinTables.com — E-Commerce Launch by Knight Logics. Handcrafted resin tabletop storefront with custom builder, user login, order tracking, and Stripe checkout.","177","1129","Indexable",""
"https://knightlogics.com/display-control-plus","1","Display Control+ by Knight Logics: professional Windows utility for per-monitor OLED/LCD protection with tray controls, idle detection modes, and persistent overlay workflows.","175","1082","Indexable",""
"https://knightlogics.com/service-ecommerce","1","Custom e-commerce development for Tampa Bay businesses. Shopify alternatives, Firebase + Stripe storefronts, and data systems built to your spec — no platform lock-in, no monthly fees.","184","1158","Indexable",""
"https://knightlogics.com/auto-vid-compiler","1","Auto Vid Compiler by Knight Logics: open-source Windows app that turns a folder of clips into a highlight reel. Trim endings, add intro and music, export one YouTube-ready video.","178","1094","Indexable",""
"https://knightlogics.com/case-study-sals-painting","1","Case study: Sal's Painting — Search-Ready Starter by Knight Logics. Multi-page painter website with GA4, Clarity, GSC setup, and core technical SEO foundation.","159","985","Indexable",""
"https://knightlogics.com/case-study-farrell-electric","1","Case study: Farrell Electric — Preview Launch Site by Knight Logics. Multi-page electrician website on GitHub Pages with essential SEO and contact form.","152","940","Indexable",""
"https://knightlogics.com/?openPackage=ecommerce-growth-store","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-launch-plus","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-pro","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-growth-management","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
