"URL","Title","Character Length","Pixel Length","Description","Character Length","Pixel Length"
"https://knightlogics.com/","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/case-study-screen-team","Growth System Case Study — Screen Team LLC | Knight Logics","58","563","Case study: ScreenTeamLLC.com — Growth System build by Knight Logics. Tampa Bay screen repair website with CRM, email automation, social systems, and directory foundation.","171","1111"
"https://knightlogics.com/pricing","Redirecting to Pricing | Knight Logics","38","327","Compare Tampa Bay web design, local SEO, Google Business Profile, e-commerce, CRM, and automation pricing from Knight Logics. Starter websites from $500, local launch packages from $1,997, and monthly visibility plans from $197/mo.","231","1479"
"https://knightlogics.com/pixelforge-ai","PixelForge AI | Knight Logics","29","254","PixelForge AI by Knight Logics: Windows desktop video upscaling app for local enhancement, restoration, compare previews, ETA estimation, and direct GitHub-powered updates.","172","1095"
"https://knightlogics.com/service-desktop-apps","Custom Desktop Applications & Software — Tampa Bay | Knight Logics","66","628","Custom Windows desktop applications by Knight Logics. Shipped products include PixelForge AI, Display Control+, and VideoForge Studio — built, packaged & distributed via GitHub Releases.","186","1172"
"https://knightlogics.com/case-study-jns","Local Launch Plus Case Study — JNSBuilds.com | Knight Logics","60","564","Case study: JNSBuilds.com — Local Launch Plus build by Knight Logics with 11 pages, FAQPage schema, analytics, and full technical SEO foundations.","146","932"
"https://knightlogics.com/case-study-knight-group","Growth System Case Study — KnightGroup.com | Knight Logics","58","560","Case study: KnightGroup.com — Growth System build by Knight Logics combining a local-service website, booking flow, SEO, and supporting operations workflows.","157","1008"
"https://knightlogics.com/service-websites","Custom Website Design & Local SEO — Tampa Bay | Knight Logics","61","588","Custom website design & local SEO for Tampa Bay small businesses. Hand-coded sites with Google Business Profile optimization, schema markup & Search Console setup. Get found, get calls.","185","1180"
"https://knightlogics.com/book-consultation","Book a Consultation | Knight Logics","35","314","Book a consultation with Knight Logics for Tampa Bay web design, local SEO, Google Business Profile optimization, e-commerce, automation, or custom software. Request a preferred time and get a response within 24 hours.","218","1379"
"https://knightlogics.com/videoforge","VideoForge Studio | Knight Logics","33","300","VideoForge Studio by Knight Logics: Windows-first local video production app for ranked videos with FFmpeg rendering, overlays, optional narration, and export-ready output.","172","1071"
"https://knightlogics.com/service-ai-automation","Business Automation & API Integration — Tampa Bay | Knight Logics","65","607","Business automation, workflow systems & API integration for Tampa Bay companies. Cut manual work, reduce errors, and connect your tools with custom-built automations by Knight Logics.","183","1178"
"https://knightlogics.com/contact","Contact Knight Logics | Tampa Bay Web Design, SEO & Automation","62","595","Contact Knight Logics for Tampa Bay web design, local SEO, Google Business Profile optimization, e-commerce, or automation help. Free consultation and direct response within 24 hours.","183","1152"
